name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,team_id,player_key
stinkyshawn,,S,Assistant,25,39,11,28,1.56,79,,,,,,,,,,,,,,,,,,,,SLY,name:stinkyshawn
Chilliam,,S,,10,11,0,11,1.1,3,,,,,,,,,,,,,,,,,,,,SLY,name:Chilliam
puckster,,G,,0,0,0,0,,0,,,,,,,,,,,20,162,25,,,1.25,0.845679012,11,5,SLY,name:puckster
Nakesy,,S/G,,27,36,18,18,1.333333333,71,,,,,,,,,,,,,,,,,,,,SLY,name:Nakesy
carl,,S.G,,6,6,3,3,1,12,,,,,,,,,,,,,,,,,,,,SLY,name:carl
ghost,,S/G,,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,SLY,name:ghost
Light,,G,,0,1,0,1,,0,,,,,,,,,,,9,92,20,,,2.222222222,0.782608696,5,1,SLY,name:Light
Drax,,S,,0,0,,,,,,,,,,,,,,,,,,,,,,,,MOFO,name:Drax
JohnPuck,,S,Captain,26,37,9,28,1.423076923,46,,,,,,,,,,,,,,,,,,,,MOFO,name:JohnPuck
Pyros,,S,Assistant,25,42,15,27,1.68,53,,,,,,,,,,,,,,,,,,,,MOFO,name:Pyros
player,,S,,22,50,30,20,2.272727273,113,,,,,,,,,,,,,,,,,,,,MOFO,name:player
Mushy,,S,,9,13,3,10,1.444444444,20,,,,,,,,,,,,,,,,,,,,MOFO,name:Mushy
rockhopper,,S,,7,4,3,1,0.571428571,10,,,,,,,,,,,,,,,,,,,,MOFO,name:rockhopper
ALEJO,,S,,5,2,0,2,0.4,11,,,,,,,,,,,,,,,,,,,,MOFO,name:ALEJO
SupaWoov,,S/G,,19,17,2,15,0.894736842,23,,,,,,,,,,,,,,,,,,,,MOFO,name:SupaWoov
Foster,,S/G,,1,5,0,5,5,3,,,,,,,,,,,18,133,19,,,1.055555556,0.857142857,12,5,MOFO,name:Foster
Nakamura,,G,,0,2,0,2,,0,,,,,,,,,,,12,122,27,,,2.25,0.778688525,5,3,MOFO,name:Nakamura
moose,,S,Captain,22,27,15,12,1.227272727,84,,,,,,,,,,,,,,,,,,,,MM,name:moose
walker,,S,,13,8,0,8,0.615384615,4,,,,,,,,,,,,,,,,,,,,MM,name:walker
Poro,,S,Assistant,26,26,10,16,1,55,,,,,,,,,,,,,,,,,,,,MM,name:Poro
Jonezy,,S,,0,0,,,,,,,,,,,,,,,,,,,,,,,,MM,name:Jonezy
Poopga,,S,,9,4,1,3,0.444444444,9,,,,,,,,,,,,,,,,,,,,MM,name:Poopga
MONKEYBROW,,S,,27,25,3,22,0.925925926,30,,,,,,,,,,,,,,,,,,,,MM,name:MONKEYBROW
Rickey,,G,,0,0,0,0,,0,,,,,,,,,,,21,164,38,,,1.80952381,0.768292683,9,4,MM,name:Rickey
Ogre,,G,,0,0,0,0,,0,,,,,,,,,,,3,29,11,,,3.666666667,0.620689655,0,0,MM,name:Ogre
pretty,,S,Assistant,21,14,4,10,0.666666667,33,,,,,,,,,,,1,9,1,,,1,0.888888889,0,0,MM,name:pretty
Kadri,,G,,4,3,0,3,0.75,4,,,,,,,,,,,5,50,14,,,2.8,0.72,2,0,MM,name:Kadri
JB,,S,Captain,27,24,5,19,0.888888889,36,,,,,,,,,,,,,,,,,,,,BCL,name:JB
LePuckuer,,S,Assistant,21,28,10,18,1.333333333,49,,,,,,,,,,,,,,,,,,,,BCL,name:LePuckuer
BarDownBart,,S,,25,30,9,21,1.2,62,,,,,,,,,,,,,,,,,,,,BCL,name:BarDownBart
nickisntcool,,S,,19,32,20,12,1.684210526,65,,,,,,,,,,,,,,,,,,,,BCL,name:nickisntcool
Vanxity,,S,,2,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,BCL,name:Vanxity
BOESER,,S,,20,25,13,12,1.25,64,,,,,,,,,,,,,,,,,,,,BCL,name:BOESER
imacomputa,,S,,17,12,1,11,0.705882353,10,,,,,,,,,,,,,,,,,,,,BCL,name:imacomputa
Jarry,,G,Assistant,0,2,0,2,,0,,,,,,,,,,,19,163,31,,,1.631578947,0.809815951,10,2,BCL,name:Jarry
Quick,,S/G,,0,1,0,1,,,,,,,,,,,,,13,80,21,,,1.615384615,0.7375,6,2,BCL,name:Quick
